brandName,descriptionText,itemCondition,modelYear,manufacturer,fuelType,imageUrl,transmission,engineDisplacement,mileage,price,detailsUrl,adId
Suzuki,Suzuki Cultus 2014 for sale in Karachi,used,2014,Suzuki,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/suzuki-cultus-vxri-euro-ii-2014-59860484.jpg,Manual,1000,45000,995000,https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-karachi-5705328,5705328
Honda,Honda City 2014 for sale in Rahim Yar Khan,used,2014,Honda,Petrol,https://cache3.pakwheels.com/ad_pictures/5564/honda-city-aspire-2-2014-55645429.jpg,Manual,1500,114000,1850000,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-rahim-yar-khan-5386640,5386640
Toyota,Toyota Alphard Hybrid 2007 for sale in Islamabad,used,2007,Toyota,Hybrid,https://cache3.pakwheels.com/ad_pictures/5985/toyota-alphard-hybrid-g-39-2007-59853186.jpg,Automatic,2400,107000,5200000,https://www.pakwheels.com/used-cars/toyota-alphard-hybrid-2007-for-sale-in-islamabad-5704800,5704800
Toyota,Toyota Corolla 2016 for sale in Islamabad,used,2016,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5971/toyota-corolla-gli-vvti-automatic-2016-59711574.jpg,Automatic,1300,88000,2590000,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-5694492,5694492
KIA,KIA Sportage 2021 for sale in Lahore,used,2021,KIA,Petrol,https://cache1.pakwheels.com/ad_pictures/5985/kia-sportage-awd-2021-59853115.jpg,Automatic,2000,19300,5575000,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-5704791,5704791
Toyota,Toyota Corolla 2021 for sale in Karachi,used,2021,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5901/toyota-corolla-altis-x-automatic-1-6-special-edition-2021-59013146.jpg,Automatic,1600,10,4100000,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-5642520,5642520
MG,MG HS 2021 for sale in Islamabad,used,2021,MG,Petrol,https://cache1.pakwheels.com/ad_pictures/5985/mg-hs-2-1-5-turbo-2021-59852844.jpg,Automatic,1500,5000,5950000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-5704760,5704760
Honda,Honda City 2017 for sale in Multan,used,2017,Honda,Petrol,https://cache4.pakwheels.com/ad_pictures/5969/honda-city-i-vtec-2-2017-59698570.jpg,Manual,1300,76000,2300000,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-multan-5693529,5693529
Honda,Honda Civic 2015 for sale in Islamabad,used,2015,Honda,Petrol,https://cache3.pakwheels.com/ad_pictures/5972/honda-civic-oriel-prosmatec-ug-2015-59729900.jpg,Automatic,1800,85000,2850000,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-islamabad-5695837,5695837
Toyota,Toyota Hilux 2012 for sale in Lahore,used,2012,Toyota,Diesel,https://cache3.pakwheels.com/ad_pictures/5849/toyota-hilux-d-4d-automatic-2012-58495018.jpg,Automatic,3000,87000,5200000,https://www.pakwheels.com/used-cars/toyota-hilux-2012-for-sale-in-lahore-5562390,5562390
